""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"gene"	"count"	"sca.t"	"sca.P.Value"	"sca.adj.pval"	"name"
"ENSP00000370839.6"	-0.0333510280177516	-0.00247218743712803	-0.750118689742422	0.457815732185918	0.828375197760958	-5.7494036605375	"ENSP00000370839.6"	7	-0.775873211791341	0.442601137568839	0.811510951457836	"SGCB"
"ENSP00000352222.4"	-0.0808998703755586	0.0589684714904617	-0.77632699510975	0.442374971550782	0.816904405070708	-5.7303723444693	"ENSP00000352222.4"	2	-0.775859279369163	0.442609266492158	0.811510951457836	"CTPS2"
"ENSP00000410815.1"	0.180814009097197	-0.270989888621015	0.771473820814698	0.445210659148956	0.819510373403191	-5.73394421178629	"ENSP00000410815.1"	11	0.775631866258685	0.442741964063424	0.811510951457836	"AL645922.1"
"ENSP00000360782.3"	0.0455050233230401	0.02114857791089	0.75841912958709	0.452891730660679	0.824620746420149	-5.74344470621502	"ENSP00000360782.3"	8	0.775151818352053	0.443022153929575	0.811522337624862	"PMPCA"
"ENSP00000368776.2"	-0.0381594217863997	-0.00126734212534487	-0.753015066967295	0.456093997951651	0.827390838483473	-5.74733154330727	"ENSP00000368776.2"	7	-0.773435586634615	0.444024729435999	0.812856148695568	"NAE1"
"ENSP00000222673.5"	-0.0794060220991453	0.032210813860942	-0.7667030677495	0.448008665321352	0.820656565665952	-5.73743429905519	"ENSP00000222673.5"	5	-0.772613598022597	0.444505389245797	0.813010325601453	"OGDH"
"ENSP00000370232.5"	0.0558365090362017	-0.0278383884009341	0.758207090444994	0.453017128628264	0.824620746420149	-5.74359772136127	"ENSP00000370232.5"	19	0.772352879735589	0.444657909343131	0.813010325601453	"IDH3B"
"ENSP00000231572.3"	-0.0445792868715798	0.0156248439176539	-0.751577671026652	0.456947975665319	0.827390838483473	-5.74836084775047	"ENSP00000231572.3"	24	-0.771410711463345	0.44520933611217	0.813516380977327	"RARS1"
"ENSP00000257245.4"	-0.0661616881975669	0.0260096417807804	-0.783909191036524	0.437966302249374	0.813564981246727	-5.72474861796085	"ENSP00000257245.4"	1	-0.770939433774157	0.445485314788454	0.813518805427497	"TIMM10"
"ENSP00000211379.5"	-0.0417169358092399	0.00517591685712987	-0.753561844397822	0.455769394812886	0.827390838483473	-5.74693950138798	"ENSP00000211379.5"	6	-0.769110629096396	0.446557216244159	0.81497379822255	"BAG6"
"ENSP00000394798.2"	-0.107633217355251	-0.107994790310194	-0.765772872535133	0.448555424958758	0.821150289695823	-5.73811235135067	"ENSP00000394798.2"	2	-0.766908387184368	0.447850020535385	0.81675803780794	"TMEM245"
"ENSP00000363638.3"	-0.045821491137907	0.0845136822353884	-0.764238898956747	0.449457939681886	0.821786677368978	-5.73922877908585	"ENSP00000363638.3"	3	-0.766449523869535	0.448119669801528	0.81675803780794	"LYPLA2"
